0,832a28fffffffff
1,83cae9fffffffff
2,837a06fffffffff
3,83a19dfffffffff
4,83ae06fffffffff
5,83931bfffffffff
6,830e00fffffffff
7,8390b3fffffffff
8,83348cfffffffff
9,83c4defffffffff
10,839f1afffffffff
11,839562fffffffff
12,831172fffffffff
13,839d85fffffffff
14,83cf91fffffffff
15,832f41fffffffff
16,83db19fffffffff
17,832a54fffffffff
18,833f44fffffffff
19,836556fffffffff
20,83d504fffffffff
21,83684cfffffffff
22,833769fffffffff
23,8361a1fffffffff
24,83af1afffffffff
25,83911bfffffffff
26,83e928fffffffff
27,836832fffffffff
28,83cd60fffffffff
29,834ac2fffffffff
30,839acbfffffffff
31,83ab0afffffffff
32,83af58fffffffff
33,83439efffffffff
34,83c7a8fffffffff
35,83b954fffffffff
36,83aa05fffffffff
37,835fb0fffffffff
38,83deabfffffffff
39,834652fffffffff
40,8350e9fffffffff
41,836fb3fffffffff
42,83b92afffffffff
43,83b21dfffffffff
44,837763fffffffff
45,83794cfffffffff
46,839281fffffffff
47,83b460fffffffff
48,83280bfffffffff
49,838c54fffffffff
50,83dee6fffffffff
51,83bf70fffffffff
52,837416fffffffff
53,83c86cfffffffff
54,835b35fffffffff
55,836455fffffffff
56,833530fffffffff
57,83d968fffffffff
58,838792fffffffff
59,838eb0fffffffff
60,83c883fffffffff
61,838c76fffffffff
62,830c4efffffffff
63,83d424fffffffff
64,833492fffffffff
65,83d704fffffffff
66,830333fffffffff
67,83b4e2fffffffff
68,830291fffffffff
69,83bbaafffffffff
70,83d743fffffffff
71,83996dfffffffff
72,83e69cfffffffff
73,83c99efffffffff
74,831391fffffffff
75,8356d2fffffffff
76,835581fffffffff
77,83e041fffffffff
78,838da9fffffffff
79,83dc30fffffffff
80,83696bfffffffff
81,830919fffffffff
82,834b2dfffffffff
83,8350f4fffffffff
84,83f0d6fffffffff
85,83464cfffffffff
86,834af5fffffffff
87,836864fffffffff
88,83f3a2fffffffff
89,839000fffffffff
90,832acafffffffff
91,83d3a2fffffffff
92,837072fffffffff
93,831d04fffffffff
94,83cad9fffffffff
95,83ac43fffffffff
96,83bd34fffffffff
97,830305fffffffff
98,83ca26fffffffff
99,83dcb4fffffffff
100,83df49fffffffff
101,83c782fffffffff
102,83c98afffffffff
103,835ab2fffffffff
104,830f54fffffffff
105,838574fffffffff
