"imo","longitude","latitude","timestamp"
9305116,133.11349999999996,-2.3912000000000075,"2022-08-01 21:56:29"
9305116,132.08390000000003,-2.453699999999965,"2022-08-03 11:32:24"
9305116,131.93110000000007,-2.4740999999999933,"2022-08-03 12:05:09"
9305116,131.5609,-2.492699999999997,"2022-08-03 13:19:28"
9305116,131.2049,-2.5091000000000268,"2022-08-03 14:29:06"
9305116,131.02170000000004,-2.5116999999999865,"2022-08-03 15:04:33"
9305116,130.6896,-2.524700000000013,"2022-08-03 16:09:27"
9305116,130.25330000000002,-2.495000000000003,"2022-08-03 17:35:39"
9305116,130.1266,-2.479899999999981,"2022-08-03 18:00:38"
9305116,128.5484,-2.251200000000005,"2022-08-03 23:17:13"
9305116,128.31540000000004,-2.1942999999999997,"2022-08-04 00:04:09"
9305116,128.01500000000004,-2.1382999999999894,"2022-08-04 01:04:34"
9305116,127.6113,-2.040599999999996,"2022-08-04 02:24:45"
9305116,127.16789999999997,-1.5805000000000138,"2022-08-04 04:46:14"
9305116,127.0316,-1.3416999999999613,"2022-08-04 05:41:30"
9305116,126.90359999999998,-1.0914999999999544,"2022-08-04 06:36:58"
9305116,126.80670000000003,-0.9082999999999933,"2022-08-04 07:16:33"
9305116,126.13850000000001,0.28370000000002277,"2022-08-04 11:50:04"
9305116,126.00669999999998,0.4883000000000157,"2022-08-04 12:37:35"
9305116,125.77830000000002,0.9466999999999978,"2022-08-04 14:16:35"
9305116,125.35610000000008,1.7448000000000192,"2022-08-04 17:12:44"
9305116,125.21319999999999,2.0109000000000026,"2022-08-04 18:13:07"
9305116,125.05669999999999,2.2666999999999886,"2022-08-04 19:13:35"
9305116,124.70190000000001,2.8739000000000106,"2022-08-04 21:32:02"
9305116,124.16920000000006,3.6908999999999925,"2022-08-05 00:40:13"
9305116,124.11170000000007,3.784999999999996,"2022-08-05 01:01:38"
9305116,123.86830000000002,4.21830000000003,"2022-08-05 02:37:38"
9305116,123.53280000000002,4.761099999999996,"2022-08-05 04:38:40"
9305116,123.145,5.4150000000000045,"2022-08-05 07:01:36"
9305116,122.98100000000002,5.722900000000013,"2022-08-05 08:11:20"
9305116,122.75230000000003,6.09580000000002,"2022-08-05 09:40:03"
9305116,122.67410000000004,6.2247000000000074,"2022-08-05 10:11:32"
9305116,122.51799999999999,6.474900000000007,"2022-08-05 11:11:45"
9305116,122.34550000000004,6.7251999999999965,"2022-08-05 12:12:03"
9305116,122.076,6.80980000000002,"2022-08-05 13:08:50"
9305116,121.8066,6.973300000000003,"2022-08-05 14:12:32"
9305116,121.65869999999991,7.226400000000009,"2022-08-05 15:12:44"
9305116,121.59490000000001,7.491599999999991,"2022-08-05 16:06:08"
9305116,120.73069999999998,10.122800000000014,"2022-08-06 01:28:10"
9305116,120.66519999999997,10.30630000000002,"2022-08-06 02:13:22"
9305116,120.58230000000006,10.5525,"2022-08-06 03:13:33"
9305116,120.55320000000002,11.208600000000027,"2022-08-06 05:44:09"
9305116,120.6076,11.403600000000019,"2022-08-06 06:29:16"
9305116,120.68589999999999,11.58760000000002,"2022-08-06 07:14:28"
9305116,120.71420000000003,12.015799999999967,"2022-08-06 09:05:35"
9305116,120.2647,12.847599999999986,"2022-08-06 12:37:14"
9305116,120.2066,12.96029999999999,"2022-08-06 13:04:56"
9305116,120.09470000000007,13.178600000000047,"2022-08-06 14:00:28"
9305116,119.96379999999998,13.417399999999956,"2022-08-06 15:01:57"
9305116,119.8315,13.67339999999999,"2022-08-06 16:06:40"
9305116,119.73179999999998,13.886000000000017,"2022-08-06 17:00:04"
9305116,119.69410000000006,14.14489999999996,"2022-08-06 18:00:09"
9305116,119.65269999999998,14.407600000000043,"2022-08-06 19:00:28"
9305116,119.59140000000004,14.886300000000025,"2022-08-06 20:48:00"
9305116,119.53510000000001,15.324599999999972,"2022-08-06 22:25:18"
9305116,119.51590000000007,15.49850000000001,"2022-08-06 23:03:40"
9305116,119.48680000000002,15.773000000000042,"2022-08-07 00:05:33"
9305116,119.47330000000002,16.020199999999996,"2022-08-07 01:01:16"
9305116,119.48830000000004,16.29,"2022-08-07 02:01:42"
9305116,119.51800000000003,16.627599999999983,"2022-08-07 03:18:28"
9305116,119.53099999999998,16.88809999999997,"2022-08-07 04:18:40"
9305116,119.42409999999998,17.032900000000016,"2022-08-07 05:04:15"
9305116,119.2283,17.20130000000004,"2022-08-07 06:04:20"
9305116,119.0072,17.390800000000063,"2022-08-07 07:12:44"
9305116,118.86720000000001,17.548000000000005,"2022-08-07 08:13:22"
9305116,118.78150000000002,17.69249999999999,"2022-08-07 09:01:35"
9305116,118.67329999999997,17.941700000000015,"2022-08-07 10:16:56"
9305116,118.61280000000004,18.098800000000015,"2022-08-07 11:03:55"
9305116,118.5257,18.325399999999977,"2022-08-07 12:10:54"
9305116,118.44690000000001,18.555800000000026,"2022-08-07 13:17:47"
9305116,118.34520000000002,18.838900000000002,"2022-08-07 14:41:55"
9305116,118.28440000000002,18.98739999999999,"2022-08-07 15:28:57"
9305116,118.2124,19.18400000000001,"2022-08-07 16:29:35"
9305116,117.01,22.558899999999984,"2022-08-08 10:45:53"
9305116,117.0673,22.618300000000026,"2022-08-08 11:09:23"
9305116,117.22450000000002,22.77400000000001,"2022-08-08 12:13:13"
9305116,117.32789999999997,22.91880000000001,"2022-08-08 13:13:33"
9305116,117.42130000000003,23.022799999999997,"2022-08-08 14:02:43"
9305116,117.5475,23.144399999999983,"2022-08-08 15:04:34"
9305116,117.65700000000005,23.26209999999999,"2022-08-08 16:05:24"
